name,release_year,certificate,runtime,genre,director,gross,actors,production_house
Citizen Kane,1941,Approved,119,_Mystery,Orson Welles,NA,_Joseph Cotten_Orson Welles,RKO Radio Pictures
The Godfather,1972,R,175,_Crime,Francis Ford Coppola,NA,_Al Pacino_Marlon Brando,Paramount Pictures
Rear Window,1954,TV-G,112,_Thriller,Alfred Hitchcock,NA,_Frank Cady_Georgine Darcy_Grace Kelly_James Stewart_Judith Evelyn_Raymond Burr_Ross Bagdasarian_Sara Berner_Thelma Ritter_Wendell Corey,Paramount Pictures
Casablanca,1943,TV-PG,102,_War,Michael Curtiz,NA,_Humphrey Bogart_Ingrid Bergman,Warner Bros.
Boyhood,2014,R,165,_Drama,Richard Linklater,NA,_Bonnie Cross_Elijah Smith_Ellar Coltrane_Ethan Hawke_Libby Villari_Lorelei Linklater_Marco Perella_Patricia Arquette_Steven Chester Prince,IFC Films
Three Colors: Red,1994,R,99,_Romance,Krzysztof Kieslowski,NA,_Irène Jacob_Jean-Louis Trintignant,Miramax
Singin' in the Rain,1952,G,103,_Musical,_Gene Kelly_Stanley Donen,NA,_Cyd Charisse_Dawn Addams_Debbie Reynolds_Donald O'Connor_Douglas Fowley_Gene Kelly_Jean Hagen_John Albright_Millard Mitchell_Rita Moreno,Metro-Goldwyn-Mayer (MGM)
The Treasure of the Sierra Madre,1948,TV-PG,126,_Western,John Huston,NA,_Alfonso Bedoya_Arturo Soto Rangel_Barton MacLane_Bruce Bennett_Humphrey Bogart_José Torvay_Manuel Dondé_Margarito Luna_Tim Holt_Walter Huston,Warner Bros.
Moonlight,2016,NotRated,111,_Drama,Barry Jenkins,NA,_Alex R. Hibbert_Ashton Sanders_Duan Sanderson_Herman 'Caheei McGloun_Jaden Piner_Janelle Monáe_Mahershala Ali_Naomie Harris_Shariff Earp,A24
Pan's Labyrinth,2006,R,118,_War,Guillermo del Toro,NA,_Ariadna Gil_Ivana Baquero_Sergi López,Picturehouse
North by Northwest,1959,TV-G,136,_Thriller,Alfred Hitchcock,NA,_Adam Williams_Cary Grant_Edward Platt_Eva Marie Saint_James Mason_Jessie Royce Landis_Josephine Hutchinson_Leo G. Carroll_Martin Landau_Philip Ober,Metro-Goldwyn-Mayer (MGM)
All About Eve,1950,TV-PG,138,_Drama,Joseph L. Mankiewicz,NA,_Anne Baxter_Barbara Bates_Bette Davis_Celeste Holm_Gary Merrill_George Sanders_Gregory Ratoff_Hugh Marlowe_Marilyn Monroe_Thelma Ritter,Twentieth Century Fox
Hoop Dreams,1994,PG-13,170,_Documentary,Steve James,NA,_Arthur Agee_William Gates,Fine Line Features
My Left Foot,1990,R,103,_Drama,Jim Sheridan,NA,_Brenda Fricker_Daniel Day-Lewis,Miramax
Gone with the Wind,1940,TV-PG,238,_War,_George Cukor_Sam Wood_Victor Fleming,NA,Vivien Leigh,Metro-Goldwyn-Mayer (MGM)
"4 Months, 3 Weeks and 2 Days",2008,NotRated,113,_Drama,Cristian Mungiu,NA,_Anamaria Marinca_Vlad Ivanov,IFC Films
Some Like It Hot,1959,Approved,121,_Romance,Billy Wilder,NA,_Billy Gray_George E. Stone_George Raft_Jack Lemmon_Joan Shawlee_Joe E. Brown_Marilyn Monroe_Nehemiah Persoff_Pat O'Brien_Tony Curtis,United Artists
Psycho,1960,M,109,_Horror,Alfred Hitchcock,NA,_Anthony Perkins_Janet Leigh,Paramount Pictures
American Graffiti,1973,PG,110,_Comedy,George Lucas,NA,_Bo Hopkins_Candy Clark_Charles Martin Smith_Cindy Williams_Mackenzie Phillips_Manuel Padilla Jr._Paul Le Mat_Richard Dreyfuss_Ron Howard_Wolfman Jack,Universal Pictures
Ran,1985,R,162,_War,Akira Kurosawa,NA,_Akira Terao_Daisuke Ryû_Jinpachi Nezu_Tatsuya Nakadai,Orion Classics
