_id,ltable_id,rtable_id,ltable_name,ltable_release_year,ltable_director,ltable_actors,ltable_runtime,rtable_name,rtable_release_year,rtable_director,rtable_actors,rtable_runtime,label
64478,a1572,b2869,bend it like beckham,2002,Gurinder Chadha,Parminder Nagra Keira Knightley Jonathan Rhys Meyers Anupam Kher,112,bend it like beckham,2003,Gurinder Chadha,Jonathan Rhys Meyers Keira Knightley Parminder Nagra,112,1
17661,a438,b787,sicario,2015,Denis Villeneuve,Emily Blunt Josh Brolin Benicio Del Toro Jon Bernthal,121,sicario,2015,Denis Villeneuve,Benicio Del Toro Emily Blunt Jeffrey Donovan Jon Bernthal Josh Brolin Victor Garber,121,1
2845,a1605,b100,the queen,2006,Stephen Frears,Helen Mirren Michael Sheen James Cromwell Alex Jennings,103,the queen,2006,Stephen Frears,Helen Mirren James Cromwell,103,1
3682,a446,b138,being john malkovich,1999,Spike Jonze,John Cusack Cameron Diaz Catherine Keener John Malkovich,112,being john malkovich,1999,Spike Jonze,Cameron Diaz Catherine Keener John Cusack John Malkovich,112,1
10171,a106,b401,the pianist,2002,Roman Polanski,Adrien Brody Thomas Kretschmann Frank Finlay Emilia Fox,150,the pianist,2002,Roman Polanski,Adrien Brody Frank Finlay,150,1
8560,a2809,b326,soldier,1998,Paul W.S. Anderson,Kurt Russell Jason Scott Lee Jason Isaacs Connie Nielsen,99,rushmore,1998,Wes Anderson,Bill Murray Jason Schwartzman,93,0
5685,a1341,b216,blue is the warmest color,2013,Abdellatif Kechiche,Léa Seydoux Adèle Exarchopoulos Salim Kechiouche Aurélien Recoing,180,blue is the warmest color,2013,Abdel Kechiche,Ad Alma Jodorowsky Anne Loiret Aurélien Recoing Benjamin Siksou Beno Catherine Salée Jeremie Laheurte Léa Seydoux Mona Walravens Salim Kechiouche Sandor Funtek,179,1
21018,a1052,b953,melancholia,2011,Lars von Trier,Kirsten Dunst Charlotte Gainsbourg Kiefer Sutherland Alexander Skarsgård,135,melancholia,2011,Lars von Trier,,137,1
32411,a39,b1430,the usual suspects,1995,Bryan Singer,Kevin Spacey Gabriel Byrne Chazz Palminteri Stephen Baldwin,106,the usual suspects,1995,Bryan Singer,Chazz Palminteri Gabriel Byrne Kevin Spacey,106,1
24652,a2028,b1115,silence,2016,Martin Scorsese,Andrew Garfield Adam Driver Liam Neeson Tadanobu Asano,161,silence,2016,Martin Scorsese,Adam Driver Andrew Garfield Ciarán Hinds Issei Ogata Liam Neeson Shinya Tsukamoto Tadanobu Asano Yoshi Oida,161,1
7364,a2199,b273,all is lost,2013,J.C. Chandor,Robert Redford,106,all is lost,2013,J.C. Chandor,Robert Redford,106,1
3199,a66,b111,no country for old men,2007,Ethan Coen Joel Coen,Tommy Lee Jones Javier Bardem Josh Brolin Woody Harrelson,122,no country for old men,2007,Ethan Coen Joel Coen,Javier Bardem Josh Brolin Tommy Lee Jones,122,1
38520,a583,b1682,the hunger games  mockingjay   part 2,2015,Francis Lawrence,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson,137,the hunger games  catching fire,2013,Francis Lawrence,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Philip Seymour Hoffman,146,1
2537,a590,b85,annie hall,1977,Woody Allen,Woody Allen Diane Keaton Tony Roberts Carol Kane,93,annie hall,1977,Woody Allen,Diane Keaton Woody Allen,93,1
46178,a878,b2054,revolutionary road,2008,Sam Mendes,Leonardo DiCaprio Kate Winslet Christopher Fitzgerald Jonathan Roumie,119,revolutionary road,2008,Sam Mendes,Kate Winslet Leonardo DiCaprio,119,1
52187,a292,b2302,the conjuring,2013,James Wan,Patrick Wilson Vera Farmiga Ron Livingston Lili Taylor,112,the conjuring,2013,James Wan,Lili Taylor Patrick Wilson Ron Livingston Vera Farmiga,112,1
60279,a867,b2675,big,1988,Penny Marshall,Tom Hanks Elizabeth Perkins Robert Loggia John Heard,104,arachnophobia,1990,Frank Marshall,Brian McNamara Harley Jane Kozak Henry Jones James Handy Jeff Daniels John Goodman Julian Sands Mark L. Taylor Peter Jason Stuart Pankin,103,0
24592,a1697,b1113,broken flowers,2005,Jim Jarmusch,Bill Murray Jessica Lange Sharon Stone Julie Delpy,106,broken flowers,2005,Jim Jarmusch,Bill Murray Julie Delpy,106,1
2425,a467,b78,raging bull,1980,Martin Scorsese,Robert De Niro Cathy Moriarty Joe Pesci Frank Vincent,129,raging bull,1980,Martin Scorsese,Cathy Moriarty Joe Pesci Robert De Niro,0,1
53038,a342,b2342,the illusionist,2006,Neil Burger,Edward Norton Jessica Biel Paul Giamatti Rufus Sewell,110,the illusionist,2006,Neil Burger,Edward Norton Jessica Biel Paul Giamatti,110,1
49975,a1212,b2208,the drop,2014,Michaël R. Roskam,Tom Hardy Noomi Rapace James Gandolfini Matthias Schoenaerts,106,the drop,2014,Michael R. Roskam,James Gandolfini Noomi Rapace Tom Hardy,106,1
16735,a514,b735,public enemies,2009,Michael Mann,Christian Bale Johnny Depp Christian Stolte Jason Clarke,140,the white ribbon,2009,Michael Haneke,Christian Friedel Ernst Jacobi Leonie Benesch,144,0
57946,a939,b2557,25th hour,2002,Spike Lee,Edward Norton Barry Pepper Philip Seymour Hoffman Rosario Dawson,135,25th hour,2002,Spike Lee,Barry Pepper Edward Norton Philip Seymour Hoffman,135,1
45219,a2195,b2016,fearless,2006,Ronny Yu,Jet Li Li Sun Yong Dong Yun Qu,104,fearless,2006,Ronny Yu,Jet Li,103,1
14512,a590,b632,annie hall,1977,Woody Allen,Woody Allen Diane Keaton Tony Roberts Carol Kane,93,manhattan,1979,Woody Allen,Diane Keaton Mariel Hemingway Woody Allen,96,0
23084,a2366,b1059,mash,1970,Robert Altman,Donald Sutherland Elliott Gould Tom Skerritt Sally Kellerman,116,mash,1970,Robert Altman,Donald Sutherland Elliott Gould,116,1
10680,a1326,b443,about schmidt,2002,Alexander Payne,Jack Nicholson Hope Davis Dermot Mulroney Kathy Bates,125,about schmidt,2002,Alexander Payne,Dermot Mulroney Hope Davis Jack Nicholson,125,1
45709,a481,b2040,babel,2006,Alejandro G. Iñárritu,Brad Pitt Cate Blanchett Gael García Bernal Mohamed Akhzam,143,babel,2006,Alejandro González Iñárritu,Brad Pitt Cate Blanchett,143,1
45468,a627,b2025,beetlejuice,1988,Tim Burton,Alec Baldwin Geena Davis Michael Keaton Annie McEnroe,92,beetlejuice,1988,Tim Burton,Alec Baldwin Geena Davis Michael Keaton,92,1
45794,a894,b2042,the taking of pelham 123,2009,Tony Scott,Denzel Washington John Travolta Luis Guzmán Victor Gojcaj,106,unstoppable,2010,Tony Scott,Chris Pine Denzel Washington Rosario Dawson,98,0
24185,a70,b1097,gone girl,2014,David Fincher,Ben Affleck Rosamund Pike Neil Patrick Harris Tyler Perry,149,gone girl,2014,David Fincher,Ben Affleck Neil Patrick Harris Rosamund Pike Tyler Perry,149,1
50364,a362,b2219,scott pilgrim vs  the world,2010,Edgar Wright,Michael Cera Mary Elizabeth Winstead Kieran Culkin Alison Pill,112,scott pilgrim vs  the world,2010,Edgar Wright,Kieran Culkin Mary Elizabeth Winstead Michael Cera,112,1
20077,a1971,b901,inherent vice,2014,Paul Thomas Anderson,Joaquin Phoenix Josh Brolin Owen Wilson Katherine Waterston,148,inherent vice,2014,Paul Thomas Anderson,Benicio Del Toro Jena Malone Joaquin Phoenix Josh Brolin Katherine Waterston Martin Short Maya Rudolph Owen Wilson Reese Witherspoon,0,1
23949,a2544,b1095,a most violent year,2014,J.C. Chandor,Oscar Isaac Jessica Chastain David Oyelowo Alessandro Nivola,125,a most violent year,2014,J.C. Chandor,Albert Brooks Alessandro Nivola Catalina Sandino Moreno Christopher Abbott David Oyelowo Elyes Gabel Jessica Chastain Oscar Isaac Peter Gerety,125,1
21580,a471,b983,true grit,2010,Ethan Coen Joel Coen,Jeff Bridges Matt Damon Hailee Steinfeld Josh Brolin,110,true grit,2010,Ethan Coen Joel Coen,Hailee Steinfeld Jeff Bridges Matt Damon,110,1
26649,a73,b1197,monsters  inc ,2001,Pete Docter David Silverman Lee Unkrich,Billy Crystal John Goodman Mary Gibbs Steve Buscemi,92,monsters  inc ,2001,David Silverman Lee Unkrich Pete Docter,Billy Crystal John Goodman,92,1
30787,a563,b1372,apollo 13,1995,Ron Howard,Tom Hanks Bill Paxton Kevin Bacon Gary Sinise,140,apollo 13,1995,Ron Howard,Bill Paxton Ed Harris Gary Sinise Kevin Bacon Tom Hanks,140,1
6229,a205,b235,toy story 2,1999,John Lasseter Ash Brannon Lee Unkrich,Tom Hanks Tim Allen Joan Cusack Kelsey Grammer,92,toy story 2,1999,Ash Brannon John Lasseter Lee Unkrich,Tim Allen Tom Hanks,92,1
2153,a353,b63,spotlight,2015,Tom McCarthy,Mark Ruffalo Michael Keaton Rachel McAdams Liev Schreiber,128,spotlight,2015,Thomas McCarthy,John Slattery Liev Schreiber Mark Ruffalo Michael Keaton Rachel McAdams Stanley Tucci,128,1
24403,a3033,b1108,the war of the roses,1989,Danny DeVito,Michael Douglas Kathleen Turner Danny DeVito Marianne Sägebrecht,116,the war of the roses,1989,Danny DeVito,Danny DeVito Kathleen Turner Michael Douglas,116,1
24731,a1327,b1128,a serious man,2009,Ethan Coen Joel Coen,Michael Stuhlbarg Richard Kind Sari Lennick Fred Melamed,106,a serious man,2009,Ethan Coen Joel Coen,Michael Stuhlbarg Richard Kind Sari Lennick,106,1
13539,a944,b597,who framed roger rabbit,1988,Robert Zemeckis,Bob Hoskins Christopher Lloyd Joanna Cassidy Charles Fleischer,104,who framed roger rabbit,1988,Robert Zemeckis,Bob Hoskins,104,1
11710,a110,b498,the grand budapest hotel,2014,Wes Anderson,Ralph Fiennes F. Murray Abraham Mathieu Amalric Adrien Brody,99,moonrise kingdom,2012,Wes Anderson,Bill Murray Bruce Willis Edward Norton Frances McDormand Harvey Keitel Jared Gilman Jason Schwartzman Kara Hayward Tilda Swinton,94,0
17961,a913,b797,secret window,2004,David Koepp,Johnny Depp Maria Bello John Turturro Timothy Hutton,96,a history of violence,2005,David Cronenberg,Ed Harris Maria Bello Viggo Mortensen,96,0
56722,a61,b2503,jurassic park,1993,Steven Spielberg,Sam Neill Laura Dern Jeff Goldblum Richard Attenborough,127,jurassic park,1993,Steven Spielberg,Jeff Goldblum Laura Dern Richard Attenborough Sam Neill,127,1
52457,a1552,b2315,the butler,2013,Lee Daniels,Forest Whitaker Oprah Winfrey John Cusack Jane Fonda,132,the homesman,2014,Tommy Lee Jones,David Dencik Grace Gummer Hilary Swank James Spader John Lithgow Miranda Otto Sonja Richter Tim Blake Nelson Tommy Lee Jones,122,0
3431,a2577,b126,badlands,1973,Terrence Malick,Martin Sheen Sissy Spacek Warren Oates Ramon Bieri,94,badlands,1973,Terrence Malick,Martin Sheen Sissy Spacek,94,1
33923,a898,b1491,the conjuring 2,2016,James Wan,Vera Farmiga Patrick Wilson Madison Wolfe Frances O'Connor,134,logan,2017,James Mangold,Boyd Holbrook Dafne Keen Elizabeth Rodriguez Hugh Jackman Patrick Stewart Richard E. Grant Stephen Merchant,137,0
46079,a2228,b2048,eden lake,2008,James Watkins,Kelly Reilly Michael Fassbender Tara Ellis Jack O'Connell,91,slither,2006,James Gunn,Elizabeth Banks Michael Rooker Nathan Fillion,95,0
7859,a953,b299,the english patient,1996,Anthony Minghella,Ralph Fiennes Juliette Binoche Willem Dafoe Kristin Scott Thomas,162,the english patient,1996,Anthony Minghella,Juliette Binoche Kristin Scott Thomas Ralph Fiennes Willem Dafoe,162,1
39745,a279,b1737,rush,2013,Ron Howard,Daniel Brühl Chris Hemsworth Olivia Wilde Alexandra Maria Lara,123,rush,2013,Ron Howard,Chris Hemsworth Daniel Brühl Olivia Wilde,123,1
