_id,ltable_id,rtable_id,ltable_name,ltable_release_year,ltable_director,ltable_actors,ltable_runtime,rtable_name,rtable_release_year,rtable_director,rtable_actors,rtable_runtime,label
9390,a2067,b358,romancing the stone,1984,Robert Zemeckis,Michael Douglas Kathleen Turner Danny DeVito Zack Norman,106,back to the future,1985,Robert Zemeckis,Christopher Lloyd Michael J. Fox,116,0
30209,a2001,b1337,logan lucky,2017,Steven Soderbergh,Channing Tatum Adam Driver Daniel Craig Farrah Mackenzie,118,logan lucky,2017,Steven Soderbergh,Adam Driver Boden Johnston Channing Tatum Daniel Craig David Denman Farrah Mackenzie Hilary Swank Jim O'Heir Katherine Waterston Katie Holmes Rebecca Koon Riley Keough Sebastian Stan Seth MacFarlane Sutton Johnston,118,1
35947,a46,b1572,guardians of the galaxy,2014,James Gunn,Chris Pratt Vin Diesel Bradley Cooper Zoe Saldana,121,guardians of the galaxy,2014,James Gunn,Bradley Cooper Chris Pratt Dave Bautista Lee Pace Vin Diesel Zoe Saldana,121,1
60383,a973,b2681,the darjeeling limited,2007,Wes Anderson,Owen Wilson Adrien Brody Jason Schwartzman Amara Karan,91,the darjeeling limited,2007,Wes Anderson,Adrien Brody Jason Schwartzman Owen Wilson,91,1
63103,a3013,b2812,stuart little 2,2002,Rob Minkoff,Michael J. Fox Geena Davis Hugh Laurie Jonathan Lipnicki,77,stuart little 2,2002,Rob Minkoff,Geena Davis Michael J. Fox,77,1
834,a285,b30,beauty and the beast,1991,Gary Trousdale Kirk Wise,Paige O'Hara Robby Benson Jesse Corti Rex Everhart,84,beauty and the beast,1991,Gary Trousdale Kirk Wise,Paige O'Hara Robby Benson,84,1
40930,a2687,b1778,win win,2011,Tom McCarthy,Paul Giamatti Amy Ryan Jeffrey Tambor Bobby Cannavale,106,win win,2011,Thomas McCarthy,Amy Ryan Jeffrey Tambor Paul Giamatti,106,1
66229,a1852,b2935,another earth,2011,Mike Cahill,Brit Marling William Mapother Matthew-Lee Erlbach DJ Flava,92,another earth,2011,Mike Cahill,Brit Marling William Mapother,92,1
17161,a2,b757,the dark knight,2008,Christopher Nolan,Christian Bale Heath Ledger Aaron Eckhart Michael Caine,152,the dark knight,2008,Christopher Nolan,Aaron Eckhart Christian Bale Heath Ledger,152,1
16515,a1879,b722,the muppets,2011,James Bobin,Amy Adams Jason Segel Chris Cooper Rashida Jones,103,the spectacular now,2013,James Ponsoldt,Andre Royo Bob Odenkirk Brie Larson Jennifer Jason Leigh Kyle Chandler Mary Elizabeth Winstead Miles Teller Shailene Woodley,95,0
28013,a1219,b1257,punch drunk love,2002,Paul Thomas Anderson,Adam Sandler Emily Watson Philip Seymour Hoffman Jason Andrews,95,punch drunk love,2002,Paul Thomas Anderson,Adam Sandler Emily Watson,95,1
29035,a257,b1292,harry potter and the half blood prince,2009,David Yates,Daniel Radcliffe Emma Watson Rupert Grint Michael Gambon,153,harry potter and the half blood prince,2009,David Yates,Daniel Radcliffe Emma Watson Rupert Grint,153,1
52020,a256,b2292,john wick,2014,Chad Stahelski David Leitch,Keanu Reeves Michael Nyqvist Alfie Allen Willem Dafoe,101,end of watch,2012,David Ayer,America Ferrera Anna Kendrick Jake Gyllenhaal Michael Peña,109,0
37156,a2311,b1614,midnight special,2016,Jeff Nichols,Michael Shannon Joel Edgerton Kirsten Dunst Adam Driver,112,midnight special,2016,Jeff Nichols,,112,1
18241,a1274,b811,four weddings and a funeral,1994,Mike Newell,Hugh Grant Andie MacDowell James Fleet Simon Callow,117,four weddings and a funeral,1994,Mike Newell,Andie MacDowell Hugh Grant,117,1
42701,a197,b1870,minority report,2002,Steven Spielberg,Tom Cruise Colin Farrell Samantha Morton Max von Sydow,145,catch me if you can,2002,Steven Spielberg,Christopher Walken Leonardo DiCaprio Tom Hanks,141,0
63494,a2291,b2830,a perfect world,1993,Clint Eastwood,Kevin Costner Clint Eastwood Laura Dern T.J. Lowther,138,the bridges of madison county,1995,Clint Eastwood,Clint Eastwood Meryl Streep,135,0
45843,a364,b2044,brave,2012,Mark Andrews Brenda Chapman Steve Purcell,Kelly Macdonald Billy Connolly Emma Thompson Julie Walters,93,brave,2012,Brenda Chapman Mark Andrews Steve Purcell,Billy Connolly Craig Ferguson Emma Thompson Julie Walters Kelly Macdonald Kevin McKidd Robbie Coltrane,93,1
16548,a2075,b726,the celebration,1998,Thomas Vinterberg,Ulrich Thomsen Henning Moritzen Thomas Bo Larsen Paprika Steen,105,the celebration,1998,Thomas Vinterberg,Henning Moritzen Ulrich Thomsen,105,1
3265,a1236,b118,winter s bone,2010,Debra Granik,Jennifer Lawrence John Hawkes Garret Dillahunt Isaiah Stone,100,winter s bone,2010,Debra Granik,Garret Dillahunt Jennifer Lawrence John Hawkes,100,1
22011,a689,b998,the sting,1973,George Roy Hill,Paul Newman Robert Redford Robert Shaw Charles Durning,129,the sting,1973,George Roy Hill,Paul Newman Robert Redford,129,1
47176,a478,b2105,there s something about mary,1998,Bobby Farrelly Peter Farrelly,Cameron Diaz Matt Dillon Ben Stiller Lee Evans,119,there s something about mary,1998,Bobby Farrelly Peter Farrelly,Ben Stiller Cameron Diaz,119,1
27759,a577,b1239,hellboy ii  the golden army,2008,Guillermo del Toro,Ron Perlman Selma Blair Doug Jones John Alexander,120,hellboy ii  the golden army,2008,Guillermo del Toro,Doug Jones Ron Perlman Selma Blair,120,1
11328,a1048,b473,the iron giant,1999,Brad Bird,Eli Marienthal Harry Connick Jr. Jennifer Aniston Vin Diesel,86,the iron giant,1999,Brad Bird,Eli Marienthal Harry Connick Jr.,86,1
3689,a586,b141,almost famous,2000,Cameron Crowe,Billy Crudup Patrick Fugit Kate Hudson Frances McDormand,122,almost famous,2000,Cameron Crowe,Billy Crudup,122,1
58960,a676,b2616,enemy of the state,1998,Tony Scott,Will Smith Gene Hackman Jon Voight Lisa Bonet,132,enemy of the state,1998,Tony Scott,Gene Hackman Will Smith,132,1
1795,a907,b51,sideways,2004,Alexander Payne,Paul Giamatti Thomas Haden Church Virginia Madsen Sandra Oh,126,sideways,2004,Alexander Payne,Paul Giamatti Sandra Oh Thomas Haden Church Virginia Madsen,126,1
47268,a3038,b2110,high plains drifter,1973,Clint Eastwood,Clint Eastwood Verna Bloom Marianna Hill Mitchell Ryan,105,high plains drifter,1973,Clint Eastwood,Billy Curtis Clint Eastwood Geoffrey Lewis Jack Ging Marianna Hill Mitch Ryan Scott Walker Stefan Gierasch Ted Hartley Verna Bloom,105,1
10130,a58,b398,raiders of the lost ark,1981,Steven Spielberg,Harrison Ford Karen Allen Paul Freeman John Rhys-Davies,115,raiders of the lost ark,1981,Steven Spielberg,Harrison Ford John Rhys-Davies Karen Allen Paul Freeman,115,1
26621,a93,b1195,black swan,2010,Darren Aronofsky,Natalie Portman Mila Kunis Vincent Cassel Winona Ryder,108,black swan,2010,Darren Aronofsky,Mila Kunis Natalie Portman Vincent Cassel Winona Ryder,108,1
57757,a2317,b2552,fatal attraction,1987,Adrian Lyne,Michael Douglas Glenn Close Anne Archer Ellen Latzen,119,fatal attraction,1987,Adrian Lyne,Anne Archer Glenn Close Michael Douglas,119,1
12525,a616,b545,the descendants,2011,Alexander Payne,George Clooney Shailene Woodley Amara Miller Nick Krause,115,the descendants,2011,Alexander Payne,,115,1
13001,a947,b575,adaptation ,2002,Spike Jonze,Nicolas Cage Meryl Streep Chris Cooper Tilda Swinton,114,adaptation ,2002,Spike Jonze,Chris Cooper Meryl Streep Nicolas Cage,114,1
20150,a2624,b902,sabotage,2014,David Ayer,Arnold Schwarzenegger Sam Worthington Terrence Howard Olivia Williams,109,starred up,2014,David Mackenzie,Ben Mendelsohn Jack O'Connell Rupert Friend Sam Spruell,106,0
48164,a2894,b2149,the adventures of baron munchausen,1988,Terry Gilliam,John Neville Eric Idle Sarah Polley Oliver Reed,126,the adventures of baron munchausen,1989,Terry Gilliam,Eric Idle John Neville,126,1
66482,a256,b2947,john wick,2014,Chad Stahelski David Leitch,Keanu Reeves Michael Nyqvist Alfie Allen Willem Dafoe,101,premium rush,2012,David Koepp,Joseph Gordon-Levitt Michael Shannon,91,0
39256,a2673,b1713,top secret ,1984,Jim Abrahams David Zucker Jerry Zucker,Val Kilmer Lucy Gutteridge Peter Cushing Jeremy Kemp,90,lucas,1986,David Seltzer,Charlie Sheen Ciro Poppiti Corey Haim Courtney Thorne-Smith Guy Boyd Jeremy Piven Kerri Green Kevin Wixted Tom Hodges Winona Ryder,100,0
61623,a2608,b2738,the witches of eastwick,1987,George Miller,Jack Nicholson Cher Susan Sarandon Michelle Pfeiffer,118,the witches of eastwick,1987,George Miller,Cher Jack Nicholson Michelle Pfeiffer Susan Sarandon,118,1
45800,a903,b2044,shame,2011,Steve McQueen,Michael Fassbender Carey Mulligan James Badge Dale Lucy Walters,101,brave,2012,Brenda Chapman Mark Andrews Steve Purcell,Billy Connolly Craig Ferguson Emma Thompson Julie Walters Kelly Macdonald Kevin McKidd Robbie Coltrane,93,0
