id,name,release_year,runtime,director,actors
a1,The Shawshank Redemption,1994,142,Frank Darabont,_Tim Robbins_Morgan Freeman_Bob Gunton_William Sadler
a2,The Dark Knight,2008,152,Christopher Nolan,_Christian Bale_Heath Ledger_Aaron Eckhart_Michael Caine
a3,Inception,2010,148,Christopher Nolan,_Leonardo DiCaprio_Joseph Gordon-Levitt_Ellen Page_Ken Watanabe
a4,Fight Club,1999,139,David Fincher,_Brad Pitt_Edward Norton_Meat Loaf_Zach Grenier
a5,Pulp Fiction,1994,154,Quentin Tarantino,_John Travolta_Uma Thurman_Samuel L. Jackson_Bruce Willis
a6,Forrest Gump,1994,142,Robert Zemeckis,_Tom Hanks_Robin Wright_Gary Sinise_Sally Field
a7,The Lord of the Rings: The Fellowship of the Ring,2001,178,Peter Jackson,_Elijah Wood_Ian McKellen_Orlando Bloom_Sean Bean
a8,The Matrix,1999,136,_Lana Wachowski_Lilly Wachowski,_Keanu Reeves_Laurence Fishburne_Carrie-Anne Moss_Hugo Weaving
a9,The Lord of the Rings: The Return of the King,2003,201,Peter Jackson,_Elijah Wood_Viggo Mortensen_Ian McKellen_Orlando Bloom
a10,The Godfather,1972,175,Francis Ford Coppola,_Marlon Brando_Al Pacino_James Caan_Diane Keaton
a11,The Dark Knight Rises,2012,164,Christopher Nolan,_Christian Bale_Tom Hardy_Anne Hathaway_Gary Oldman
a12,The Lord of the Rings: The Two Towers,2002,179,Peter Jackson,_Elijah Wood_Ian McKellen_Viggo Mortensen_Orlando Bloom
a13,Se7en,1995,127,David Fincher,_Morgan Freeman_Brad Pitt_Kevin Spacey_Andrew Kevin Walker
a14,Interstellar,2014,169,Christopher Nolan,_Matthew McConaughey_Anne Hathaway_Jessica Chastain_Mackenzie Foy
a15,Gladiator,2000,155,Ridley Scott,_Russell Crowe_Joaquin Phoenix_Connie Nielsen_Oliver Reed
a16,Django Unchained,2012,165,Quentin Tarantino,_Jamie Foxx_Christoph Waltz_Leonardo DiCaprio_Kerry Washington
a17,Batman Begins,2005,140,Christopher Nolan,_Christian Bale_Michael Caine_Ken Watanabe_Liam Neeson
a18,The Avengers,2012,143,Joss Whedon,_Robert Downey Jr._Chris Evans_Scarlett Johansson_Jeremy Renner
a19,Star Wars: Episode IV - A New Hope,1977,121,George Lucas,_Mark Hamill_Harrison Ford_Carrie Fisher_Alec Guinness
a20,The Silence of the Lambs,1991,118,Jonathan Demme,_Jodie Foster_Anthony Hopkins_Lawrence A. Bonney_Kasi Lemmons
a21,Inglourious Basterds,2009,153,_Quentin Tarantino_Eli Roth,_Brad Pitt_Diane Kruger_Eli Roth_Mélanie Laurent
a22,Saving Private Ryan,1998,169,Steven Spielberg,_Tom Hanks_Matt Damon_Tom Sizemore_Edward Burns
a23,The Departed,2006,151,Martin Scorsese,_Leonardo DiCaprio_Matt Damon_Jack Nicholson_Mark Wahlberg
a24,Schindler's List,1993,195,Steven Spielberg,_Liam Neeson_Ralph Fiennes_Ben Kingsley_Caroline Goodall
a25,The Prestige,2006,130,Christopher Nolan,_Christian Bale_Hugh Jackman_Scarlett Johansson_Michael Caine
a26,Avatar,2009,162,James Cameron,_Sam Worthington_Zoe Saldana_Sigourney Weaver_Michelle Rodriguez
a27,Star Wars: Episode V - The Empire Strikes Back,1980,124,Irvin Kershner,_Mark Hamill_Harrison Ford_Carrie Fisher_Billy Dee Williams
a28,Memento,2000,113,Christopher Nolan,_Guy Pearce_Carrie-Anne Moss_Joe Pantoliano_Mark Boone Junior
a29,The Wolf of Wall Street,2013,180,Martin Scorsese,_Leonardo DiCaprio_Jonah Hill_Margot Robbie_Matthew McConaughey
a30,American Beauty,1999,122,Sam Mendes,_Kevin Spacey_Annette Bening_Thora Birch_Wes Bentley
a31,Shutter Island,2010,138,Martin Scorsese,_Leonardo DiCaprio_Emily Mortimer_Mark Ruffalo_Ben Kingsley
a32,The Green Mile,1999,189,Frank Darabont,_Tom Hanks_Michael Clarke Duncan_David Morse_Bonnie Hunt
a33,The Godfather: Part II,1974,202,Francis Ford Coppola,_Al Pacino_Robert De Niro_Robert Duvall_Diane Keaton
a34,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,Gore Verbinski,_Johnny Depp_Geoffrey Rush_Orlando Bloom_Keira Knightley
a35,V for Vendetta,2005,132,James McTeigue,_Hugo Weaving_Natalie Portman_Rupert Graves_Stephen Rea
a36,Titanic,1997,194,James Cameron,_Leonardo DiCaprio_Kate Winslet_Billy Zane_Kathy Bates
a37,American History X,1998,119,Tony Kaye,_Edward Norton_Edward Furlong_Beverly D'Angelo_Jennifer Lien
a38,Back to the Future,1985,116,Robert Zemeckis,_Michael J. Fox_Christopher Lloyd_Lea Thompson_Crispin Glover
a39,The Usual Suspects,1995,106,Bryan Singer,_Kevin Spacey_Gabriel Byrne_Chazz Palminteri_Stephen Baldwin
a40,Léon: The Professional,1994,110,Luc Besson,_Jean Reno_Gary Oldman_Natalie Portman_Danny Aiello
a41,Terminator 2,1991,137,James Cameron,_Arnold Schwarzenegger_Linda Hamilton_Edward Furlong_Robert Patrick
a42,Kill Bill: Vol. 1,2003,111,Quentin Tarantino,_Uma Thurman_David Carradine_Daryl Hannah_Michael Madsen
a43,Braveheart,1995,178,Mel Gibson,_Mel Gibson_Sophie Marceau_Patrick McGoohan_Angus Macfadyen
a44,Goodfellas,1990,146,Martin Scorsese,_Robert De Niro_Ray Liotta_Joe Pesci_Lorraine Bracco
a45,WALL·E,2008,98,Andrew Stanton,_Ben Burtt_Elissa Knight_Jeff Garlin_Fred Willard
