id,name,release_year,runtime,director,actors
b1,Citizen Kane,1941,119,Orson Welles,_Joseph Cotten_Orson Welles
b2,The Godfather,1972,175,Francis Ford Coppola,_Al Pacino_Marlon Brando
b3,Rear Window,1954,112,Alfred Hitchcock,_Frank Cady_Georgine Darcy_Grace Kelly_James Stewart_Judith Evelyn_Raymond Burr_Ross Bagdasarian_Sara Berner_Thelma Ritter_Wendell Corey
b4,Casablanca,1943,102,Michael Curtiz,_Humphrey Bogart_Ingrid Bergman
b5,Boyhood,2014,165,Richard Linklater,_Bonnie Cross_Elijah Smith_Ellar Coltrane_Ethan Hawke_Libby Villari_Lorelei Linklater_Marco Perella_Patricia Arquette_Steven Chester Prince
b6,Three Colors: Red,1994,99,Krzysztof Kieslowski,_Irène Jacob_Jean-Louis Trintignant
b7,Singin' in the Rain,1952,103,_Gene Kelly_Stanley Donen,_Cyd Charisse_Dawn Addams_Debbie Reynolds_Donald O'Connor_Douglas Fowley_Gene Kelly_Jean Hagen_John Albright_Millard Mitchell_Rita Moreno
b8,The Treasure of the Sierra Madre,1948,126,John Huston,_Alfonso Bedoya_Arturo Soto Rangel_Barton MacLane_Bruce Bennett_Humphrey Bogart_José Torvay_Manuel Dondé_Margarito Luna_Tim Holt_Walter Huston
b9,Moonlight,2016,111,Barry Jenkins,_Alex R. Hibbert_Ashton Sanders_Duan Sanderson_Herman 'Caheei McGloun_Jaden Piner_Janelle Monáe_Mahershala Ali_Naomie Harris_Shariff Earp
b10,Pan's Labyrinth,2006,118,Guillermo del Toro,_Ariadna Gil_Ivana Baquero_Sergi López
b11,North by Northwest,1959,136,Alfred Hitchcock,_Adam Williams_Cary Grant_Edward Platt_Eva Marie Saint_James Mason_Jessie Royce Landis_Josephine Hutchinson_Leo G. Carroll_Martin Landau_Philip Ober
b12,All About Eve,1950,138,Joseph L. Mankiewicz,_Anne Baxter_Barbara Bates_Bette Davis_Celeste Holm_Gary Merrill_George Sanders_Gregory Ratoff_Hugh Marlowe_Marilyn Monroe_Thelma Ritter
b13,Hoop Dreams,1994,170,Steve James,_Arthur Agee_William Gates
b14,My Left Foot,1990,103,Jim Sheridan,_Brenda Fricker_Daniel Day-Lewis
b15,Gone with the Wind,1940,238,_George Cukor_Sam Wood_Victor Fleming,Vivien Leigh
b16,"4 Months, 3 Weeks and 2 Days",2008,113,Cristian Mungiu,_Anamaria Marinca_Vlad Ivanov
b17,Some Like It Hot,1959,121,Billy Wilder,_Billy Gray_George E. Stone_George Raft_Jack Lemmon_Joan Shawlee_Joe E. Brown_Marilyn Monroe_Nehemiah Persoff_Pat O'Brien_Tony Curtis
b18,Psycho,1960,109,Alfred Hitchcock,_Anthony Perkins_Janet Leigh
b19,American Graffiti,1973,110,George Lucas,_Bo Hopkins_Candy Clark_Charles Martin Smith_Cindy Williams_Mackenzie Phillips_Manuel Padilla Jr._Paul Le Mat_Richard Dreyfuss_Ron Howard_Wolfman Jack
b20,Ran,1985,162,Akira Kurosawa,_Akira Terao_Daisuke Ryû_Jinpachi Nezu_Tatsuya Nakadai
b21,12 Years a Slave,2013,134,Steve McQueen,_Alfre Woodard_Benedict Cumberbatch_Brad Pitt_Chiwetel Ejiofor_Garret Dillahunt_Michael Fassbender_Michael K. Williams_Paul Dano_Paul Giamatti_Sarah Paulson
b22,12 Angry Men,1957,96,Sidney Lumet,_Henry Fonda_Lee J. Cobb
b23,Manchester by the Sea,2016,137,Kenneth Lonergan,_Casey Affleck_Kyle Chandler_Lucas Hedges_Michelle Williams
b24,Rosemary's Baby,1968,137,Roman Polanski,_John Cassavetes_Mia Farrow
b25,The Maltese Falcon,1941,100,John Huston,_Barton MacLane_Elisha Cook Jr._Gladys George_Humphrey Bogart_Jerome Cowan_Lee Patrick_Mary Astor_Peter Lorre_Sydney Greenstreet_Ward Bond
b26,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,Stanley Kubrick,_George C. Scott_Peter Sellers
b27,Ratatouille,2007,111,Brad Bird,_Brad Garrett_Lou Romano_Patton Oswalt
b28,Gravity,2013,91,Alfonso Cuarón,_George Clooney_Sandra Bullock
b29,Spirited Away,2002,125,Hayao Miyazaki,Miyu Irino
b30,Beauty and the Beast,1991,84,_Gary Trousdale_Kirk Wise,_Paige O'Hara_Robby Benson
b31,Carol,2015,118,Todd Haynes,_Cate Blanchett_Cory Michael Smith_Jake Lacy_John Magaro_Kyle Chandler_Rooney Mara_Sarah Paulson
b32,Toy Story,1995,81,John Lasseter,_Tim Allen_Tom Hanks
b33,The Grapes of Wrath,1940,129,John Ford,_Charley Grapewin_Dorris Bowdon_Eddie Quillan_Henry Fonda_Jane Darwell_John Carradine_John Qualen_O.Z. Whitehead_Russell Simpson_Zeffie Tilbury
b34,The Social Network,2010,120,David Fincher,_Andrew Garfield_Jesse Eisenberg_Justin Timberlake
b35,Faces Places,2017,89,_Agnès Varda_JR,_Agnès Varda_Amaury Bossy_Claude Ferchal_Claude Flaert_J.R._Jean-Luc Godard_Jean-Paul Beaujon_Jeannine Carpentier_JR_Laurent Levesque_Marie Douvet_Vincent Gils_Yves Boulen
b36,I Am Not Your Negro,2016,93,Raoul Peck,None
b37,Double Indemnity,1944,107,Billy Wilder,_Barbara Stanwyck_Byron Barr_Edward G. Robinson_Fortunio Bonanova_Fred MacMurray_Jean Heather_John Philliber_Porter Hall_Richard Gaines_Tom Powers
b38,Zero Dark Thirty,2012,157,Kathryn Bigelow,_Chris Pratt_Édgar Ramírez_Jason Clarke_Jennifer Ehle_Jessica Chastain_Joel Edgerton_Mark Strong
b39,A Separation,2011,123,Asghar Farhadi,_Leila Hatami_Peyman Moaadi_Sareh Bayat
b40,WALL-E,2008,98,Andrew Stanton,_Ben Burtt_Elissa Knight_Jeff Garlin
b41,Before Midnight,2013,109,Richard Linklater,_Ariane Labed_Athina Rachel Tsangari_Ethan Hawke_Julie Delpy_Seamus Davey-Fitzpatrick_Walter Lassally_Xenia Kalogeropoulou
b42,Dunkirk,2017,106,Christopher Nolan,_Aneurin Barnard_Barry Keoghan_Damien Bonnard_Fionn Whitehead_Harry Styles_Jack Lowden_James Bloor_Lee Armstrong_Mark Rylance_Tom Glynn-Carney_Tom Hardy
b43,The Man Who Shot Liberty Valance,1962,123,John Ford,_Andy Devine_Edmond O'Brien_James Stewart_Jeanette Nolan_John Carradine_John Qualen_John Wayne_Ken Murray_Lee Marvin_Vera Miles
b44,45 Years,2015,95,Andrew Haigh,_Charlotte Rampling_Tom Courtenay
b45,The Manchurian Candidate,1962,126,John Frankenheimer,_Frank Sinatra_Laurence Harvey
b46,Pulp Fiction,1994,154,Quentin Tarantino,_Bruce Willis_John Travolta_Samuel L. Jackson
b47,Killer of Sheep,2007,83,Charles Burnett,None
b48,Mr. Turner,2014,150,Mike Leigh,_Amy Dawson_Dorothy Atkinson_Karl Johnson_Lesley Manville_Marion Bailey_Paul Jesson_Ruth Sheen_Sandy Foster_Timothy Spall
b49,The Hurt Locker,2009,131,Kathryn Bigelow,_Anthony Mackie_Brian Geraghty_Jeremy Renner
b50,Inside Out,2015,94,_Pete Docter_Ronaldo Del Carmen,_Amy Poehler_Bill Hader_Lewis Black_Mindy Kaling_Phyllis Smith
b51,Sideways,2004,126,Alexander Payne,_Paul Giamatti_Sandra Oh_Thomas Haden Church_Virginia Madsen
b52,Apocalypse Now,1979,153,Francis Ford Coppola,_Marlon Brando_Martin Sheen
b53,We Were Here,2011,90,_Bill Weber_David Weissman,None
b54,Lady Bird,2017,94,Greta Gerwig,_Andy Buckley_Beanie Feldstein_Danielle Macdonald_Jake McDorman_Jordan Rodrigues_Kathryn Newton_Kristen Cloke_Laura Marano_Laurie Metcalf_Lois Smith_Lucas Hedges_Odeya Rush_Saoirse Ronan_Stephen Henderson_Timoth_Tracy Letts
b55,The Lord of the Rings: The Return of the King,2003,201,Peter Jackson,_Andy Serkis_Orlando Bloom
b56,Carlos,2010,325,Olivier Assayas,None
b57,Maborosi,1997,110,Hirokazu Koreeda,None
b58,Amour,2012,127,Michael Haneke,_Emmanuelle Riva_Isabelle Huppert_Jean-Louis Trintignant
b59,The Servant,1964,116,Joseph Losey,_Dirk Bogarde_James Fox_Sarah Miles_Wendy Craig
b60,Reversal of Fortune,1990,111,Barbet Schroeder,_Glenn Close_Jeremy Irons
b61,"Crouching Tiger, Hidden Dragon",2000,120,Ang Lee,_Michelle Yeoh_Yun-Fat Chow_Ziyi Zhang
b62,Toni Erdmann,2016,162,Maren Ade,_Peter Simonischek_Sandra Hüller
b63,Spotlight,2015,128,Thomas McCarthy,_John Slattery_Liev Schreiber_Mark Ruffalo_Michael Keaton_Rachel McAdams_Stanley Tucci
b64,Schindler's List,1993,195,Steven Spielberg,_Liam Neeson_Ralph Fiennes
b65,Call Me by Your Name,2017,132,Luca Guadagnino,_Amira Casar_Antonio Rimoldi_Armie Hammer_Elena Bucci_Esther Garrel_Marco Sgrosso_Michael Stuhlbarg_Timoth_Vanda Capriolo_Victoire Du Bois
b66,Yi Yi,2000,173,Edward Yang,Nien-Jen Wu
b67,La La Land,2016,128,Damien Chazelle,_Emma Stone_J.K. Simmons_Rosemarie DeWitt_Ryan Gosling
b68,Inside Llewyn Davis,2013,104,_Ethan Coen_Joel Coen,_Carey Mulligan_Garrett Hedlund_John Goodman_Justin Timberlake_Oscar Isaac
b69,Sherpa,2015,96,Jennifer Peedom,None
b70,There Will Be Blood,2007,158,Paul Thomas Anderson,Daniel Day-Lewis
b71,Sita Sings the Blues,2009,82,Nina Paley,None
b72,The Decline of Western Civilization,1981,100,Penelope Spheeris,_Alice Bag_Alice Bag Band_Black Flag_Circle Jerks_Claude Bessy_Darby Crash_Dinah Cancer_Don Bolles_Exene Cervenka_Philo Cramer
b73,Days of Heaven,1978,94,Terrence Malick,_Brooke Adams_Richard Gere
b74,Crumb,1995,119,Terry Zwigoff,Robert Crumb
