_id,ltable_id,rtable_id,ltable_name,ltable_release_year,ltable_director,ltable_actors,ltable_runtime,rtable_name,rtable_release_year,rtable_director,rtable_actors,rtable_runtime,label
28,a1185,b3,dial m for murder,1954,Alfred Hitchcock,Ray Milland Grace Kelly Robert Cummings John Williams,105,rear window,1954,Alfred Hitchcock,Frank Cady Georgine Darcy Grace Kelly James Stewart Judith Evelyn Raymond Burr Ross Bagdasarian Sara Berner Thelma Ritter Wendell Corey,112,0
31,a2633,b3,to catch a thief,1955,Alfred Hitchcock,Cary Grant Grace Kelly Jessie Royce Landis John Williams,106,rear window,1954,Alfred Hitchcock,Frank Cady Georgine Darcy Grace Kelly James Stewart Judith Evelyn Raymond Burr Ross Bagdasarian Sara Berner Thelma Ritter Wendell Corey,112,0
33,a280,b3,rear window,1954,Alfred Hitchcock,James Stewart Grace Kelly Wendell Corey Thelma Ritter,112,rear window,1954,Alfred Hitchcock,Frank Cady Georgine Darcy Grace Kelly James Stewart Judith Evelyn Raymond Burr Ross Bagdasarian Sara Berner Thelma Ritter Wendell Corey,112,1
186,a1624,b8,the treasure of the sierra madre,1948,John Huston,Humphrey Bogart Walter Huston Tim Holt Bruce Bennett,126,the treasure of the sierra madre,1948,John Huston,Alfonso Bedoya Arturo Soto Rangel Barton MacLane Bruce Bennett Humphrey Bogart José Torvay Manuel Dondé Margarito Luna Tim Holt Walter Huston,126,1
324,a760,b9,moonlight,2016,Barry Jenkins,Mahershala Ali Naomie Harris Trevante Rhodes Alex R. Hibbert,111,moonlight,2016,Barry Jenkins,Alex R. Hibbert Ashton Sanders Duan Sanderson Herman 'Caheei McGloun Jaden Piner Janelle Monáe Mahershala Ali Naomie Harris Shariff Earp,111,1
346,a408,b11,vertigo,1958,Alfred Hitchcock,James Stewart Kim Novak Barbara Bel Geddes Tom Helmore,128,north by northwest,1959,Alfred Hitchcock,Adam Williams Cary Grant Edward Platt Eva Marie Saint James Mason Jessie Royce Landis Josephine Hutchinson Leo G. Carroll Martin Landau Philip Ober,136,0
349,a510,b11,north by northwest,1959,Alfred Hitchcock,Cary Grant Eva Marie Saint James Mason Jessie Royce Landis,136,north by northwest,1959,Alfred Hitchcock,Adam Williams Cary Grant Edward Platt Eva Marie Saint James Mason Jessie Royce Landis Josephine Hutchinson Leo G. Carroll Martin Landau Philip Ober,136,1
464,a2469,b14,my left foot,1989,Jim Sheridan,Daniel Day-Lewis Brenda Fricker Alison Whelan Kirsten Sheridan,103,my left foot,1990,Jim Sheridan,Brenda Fricker Daniel Day-Lewis,103,1
475,a522,b15,gone with the wind,1939,Victor Fleming George Cukor Sam Wood,Clark Gable Vivien Leigh Thomas Mitchell Barbara O'Neil,238,gone with the wind,1940,George Cukor Sam Wood Victor Fleming,Vivien Leigh,238,1
546,a164,b18,psycho,1960,Alfred Hitchcock,Anthony Perkins Janet Leigh Vera Miles John Gavin,109,psycho,1960,Alfred Hitchcock,Anthony Perkins Janet Leigh,109,1
591,a2089,b19,american graffiti,1973,George Lucas,Richard Dreyfuss Ron Howard Paul Le Mat Charles Martin Smith,110,american graffiti,1973,George Lucas,Bo Hopkins Candy Clark Charles Martin Smith Cindy Williams Mackenzie Phillips Manuel Padilla Jr. Paul Le Mat Richard Dreyfuss Ron Howard Wolfman Jack,110,1
630,a788,b23,manchester by the sea,2016,Kenneth Lonergan,Casey Affleck Michelle Williams Kyle Chandler Lucas Hedges,137,manchester by the sea,2016,Kenneth Lonergan,Casey Affleck Kyle Chandler Lucas Hedges Michelle Williams,137,1
643,a951,b24,rosemary s baby,1968,Roman Polanski,Mia Farrow John Cassavetes Ruth Gordon Sidney Blackmer,137,rosemary s baby,1968,Roman Polanski,John Cassavetes Mia Farrow,137,1
801,a135,b27,ratatouille,2007,Brad Bird Jan Pinkava,Brad Garrett Lou Romano Patton Oswalt Ian Holm,111,ratatouille,2007,Brad Bird,Brad Garrett Lou Romano Patton Oswalt,111,1
820,a77,b28,gravity,2013,Alfonso Cuarón,Sandra Bullock George Clooney Ed Harris Orto Ignatiussen,91,gravity,2013,Alfonso Cuarón,George Clooney Sandra Bullock,91,1
834,a285,b30,beauty and the beast,1991,Gary Trousdale Kirk Wise,Paige O'Hara Robby Benson Jesse Corti Rex Everhart,84,beauty and the beast,1991,Gary Trousdale Kirk Wise,Paige O'Hara Robby Benson,84,1
