_id,ltable_id,rtable_id,ltable_name,ltable_release_year,ltable_director,ltable_actors,ltable_runtime,rtable_name,rtable_release_year,rtable_director,rtable_actors,rtable_runtime
1,a317,b1,citizen kane,1941,Orson Welles,Orson Welles Joseph Cotten Dorothy Comingore Agnes Moorehead,119,citizen kane,1941,Orson Welles,Joseph Cotten Orson Welles,119
4,a10,b2,the godfather,1972,Francis Ford Coppola,Marlon Brando Al Pacino James Caan Diane Keaton,175,the godfather,1972,Francis Ford Coppola,Al Pacino Marlon Brando,175
28,a1185,b3,dial m for murder,1954,Alfred Hitchcock,Ray Milland Grace Kelly Robert Cummings John Williams,105,rear window,1954,Alfred Hitchcock,Frank Cady Georgine Darcy Grace Kelly James Stewart Judith Evelyn Raymond Burr Ross Bagdasarian Sara Berner Thelma Ritter Wendell Corey,112
31,a2633,b3,to catch a thief,1955,Alfred Hitchcock,Cary Grant Grace Kelly Jessie Royce Landis John Williams,106,rear window,1954,Alfred Hitchcock,Frank Cady Georgine Darcy Grace Kelly James Stewart Judith Evelyn Raymond Burr Ross Bagdasarian Sara Berner Thelma Ritter Wendell Corey,112
33,a280,b3,rear window,1954,Alfred Hitchcock,James Stewart Grace Kelly Wendell Corey Thelma Ritter,112,rear window,1954,Alfred Hitchcock,Frank Cady Georgine Darcy Grace Kelly James Stewart Judith Evelyn Raymond Burr Ross Bagdasarian Sara Berner Thelma Ritter Wendell Corey,112
37,a2774,b3,the man who knew too much,1956,Alfred Hitchcock,James Stewart Doris Day Brenda de Banzie Bernard Miles,120,rear window,1954,Alfred Hitchcock,Frank Cady Georgine Darcy Grace Kelly James Stewart Judith Evelyn Raymond Burr Ross Bagdasarian Sara Berner Thelma Ritter Wendell Corey,112
76,a199,b4,casablanca,1942,Michael Curtiz,Humphrey Bogart Ingrid Bergman Paul Henreid Claude Rains,102,casablanca,1943,Michael Curtiz,Humphrey Bogart Ingrid Bergman,102
103,a388,b5,boyhood,2014,Richard Linklater,Ellar Coltrane Patricia Arquette Ethan Hawke Elijah Smith,165,boyhood,2014,Richard Linklater,Bonnie Cross Elijah Smith Ellar Coltrane Ethan Hawke Libby Villari Lorelei Linklater Marco Perella Patricia Arquette Steven Chester Prince,165
165,a810,b7,singin  in the rain,1952,Stanley Donen Gene Kelly,Gene Kelly Donald O'Connor Debbie Reynolds Jean Hagen,103,singin  in the rain,1952,Gene Kelly Stanley Donen,Cyd Charisse Dawn Addams Debbie Reynolds Donald O'Connor Douglas Fowley Gene Kelly Jean Hagen John Albright Millard Mitchell Rita Moreno,103
186,a1624,b8,the treasure of the sierra madre,1948,John Huston,Humphrey Bogart Walter Huston Tim Holt Bruce Bennett,126,the treasure of the sierra madre,1948,John Huston,Alfonso Bedoya Arturo Soto Rangel Barton MacLane Bruce Bennett Humphrey Bogart José Torvay Manuel Dondé Margarito Luna Tim Holt Walter Huston,126
