,name,release_year,certificate,genre,director,actors,runtime,gross,production_house
0,Barton Fink,1991.0,R,Crime,_Ethan Coen_Joel Coen,_John Turturro_John Goodman_Judy Davis_Michael Lerner,116,6153939,Twentieth Century Fox Film Corporation
1,Toy Story,1995.0,G,Family,John Lasseter,_Tom Hanks_Tim Allen_Don Rickles_Jim Varney,81,191796233,Buena Vista Pictures
2,Twister,1996.0,PG-13,Thriller,Jan de Bont,_Helen Hunt_Bill Paxton_Cary Elwes_Jami Gertz,113,241721524,Warner Bros. Pictures
3,Bonnie and Clyde,1967.0,R,Crime,Arthur Penn,_Warren Beatty_Faye Dunaway_Michael J. Pollard_Gene Hackman,112,-1000,Warner Brothers/Seven Arts
4,Arrival,2016.0,PG-13,Thriller,Denis Villeneuve,_Amy Adams_Forest Whitaker_Jeremy Renner_Michael Stuhlbarg,116,100546139,Paramount Pictures
5,The Fly,1986.0,R,Horror,David Cronenberg,_Jeff Goldblum_Geena Davis_John Getz_Joy Boushel,96,40456565,Twentieth Century Fox Film Corporation
6,Four Lions,2010.0,R,Comedy,Christopher Morris,_Will Adamsdale_Riz Ahmed_Adeel Akhtar_Arsher Ali,97,304137,Drafthouse Films
7,Eternal Sunshine of the Spotless Mind,2004.0,R,Romance,Michel Gondry,_Jim Carrey_Kate Winslet_Tom Wilkinson_Gerry Robert Byrne,108,34400301,Focus Features
8,Kung Fu Panda 2,2011.0,PG,Family,Jennifer Yuh Nelson,_Jack Black_Angelina Jolie_Jackie Chan_Dustin Hoffman,90,165249063,Paramount Pictures
9,Halloween,1978.0,R,Horror,John Carpenter,_Donald Pleasence_Jamie Lee Curtis_Tony Moran_Nancy Kyes,91,47000000,Compass International Pictures
10,The LEGO Movie,2014.0,PG,Family,_Christopher Miller_Phil Lord,_Alison Brie_Amanda Farinos_Anthony Daniels_Charlie Day_Chris Pratt_Craig Berry_David Burrows_Elizabeth Banks_Liam Neeson_Morgan Freeman_Nick Offerman_Will Arnett_Will Ferrell,100,257760692,Warner Bros. Pictures
11,Let Me In,2010.0,R,Romance,Matt Reeves,_Kodi Smit-McPhee_Chloë Grace Moretz_Richard Jenkins_Cara Buono,116,12134420,Overture Films
12,My Left Foot,1990.0,R,Drama,Jim Sheridan,_Daniel Day-Lewis_Brenda Fricker_Alison Whelan_Kirsten Sheridan,103,14743391,Miramax
13,Gravity,2013.0,PG-13,Thriller,Alfonso Cuarón,_Sandra Bullock_George Clooney_Ed Harris_Orto Ignatiussen,91,274092705,Warner Bros. Pictures
